                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2784,                 2.1665,                 2.7336,                0.94177,                0.93828,                0.97405,                0.67386,                 1.1722,                0.84091,                 1.5726,             0.00066561,             0.00066561,             0.00066561
                      2,                  1.277,                0.86737,                 1.5356,                0.98216,                0.98022,                0.99358,                 0.7666,                0.88666,                0.54033,                 1.2447,              0.0012883,              0.0012883,              0.0012883
                      3,                 1.0859,                0.69386,                 1.3522,                0.98736,                0.97982,                0.99388,                0.78629,                0.79055,                  0.469,                 1.1514,               0.001867,               0.001867,               0.001867
                      4,                0.97583,                0.60553,                 1.2591,                  0.997,                 0.9911,                0.99492,                0.82519,                 0.7096,                0.41408,                 1.0756,               0.001802,               0.001802,               0.001802
                      5,                0.89365,                0.54564,                 1.1983,                0.99506,                0.99407,                0.99494,                0.84615,                0.65619,                0.37078,                 1.0372,               0.001736,               0.001736,               0.001736
