                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2784,                 2.1665,                 2.7336,                0.94177,                0.93828,                0.97405,                0.67386,                 1.1722,                0.84091,                 1.5726,             0.00066561,             0.00066561,             0.00066561
                      2,                  1.277,                0.86737,                 1.5356,                0.98216,                0.98022,                0.99358,                 0.7666,                0.88666,                0.54033,                 1.2447,              0.0012883,              0.0012883,              0.0012883
